context	question	pred_answer	label	pred_verify
 Deciding whether a given triple is a member of this set corresponds to solving the problem of multiplying two numbers	What corresponds to solving the problem of multiplying three numbers/	Deciding whether a given triple is a member of this set	1	1
Subsequent to the Conquest, however, the Marches came completely under the dominance of William's most trusted Norman barons, including Bernard de Neufmarché, Roger of Montgomery in Shropshire and Hugh Lupus in Cheshire	What country was under the control of Norman barons?	the Marches	0	1
Various princes of the Holy Land arrived in Limassol at the same time, in particular Guy de Lusignan	Who led Richard's troops when Cyprus was conquered?	Guy de Lusignan	0	1
Bethencourt took the title of King of the Canary Islands, as vassal to Henry III of Castile	What title did Henry II take in the Canary Island?	King	1	1
 In 1418, Jean's nephew Maciot de Bethencourt sold the rights to the islands to Enrique Pérez de Guzmán, 2nd Count de Niebla	Who sold the rights to the island in the 14th century?	Maciot de Bethencourt	1	1
 King David I of Scotland, whose elder brother Alexander I had married Sybilla of Normandy, was instrumental in introducing Normans and Norman culture to Scotland, part of the process some scholars call the "Davidian Revolution"	Who did Alexander I marry?	Sybilla of Normandy	0	1
 The formal language associated with this decision problem is then the set of all connected graphs—of course, to obtain a precise definition of this language, one has to decide how graphs are encoded as binary strings	What is the term for the set of all connected graphs related to this decision problem?	formal language	0	1
 Perhaps surprisingly, each of these models can be converted to another without providing any extra computational power	In considering Turing machines and alternate variables, what measurement left unaffected by conversion between machine models? 	computational power	0	1
Normandy was the site of several important developments in the history of classical music in the 11th century	What developed in Normandy during the 1100s?	classical music	1	1
It is tempting to think that the notion of function problems is much richer than the notion of decision problems	How can function problems typically be restated?	decision problems	0	1
The Normans had a profound effect on Irish culture and history after their invasion at Bannow Bay in 1169	What country did the Normans invade in 1169?	Irish	0	1
Bethencourt took the title of King of the Canary Islands, as vassal to Henry III of Castile	Who became the King of the Canary Islands?	Bethencourt	0	1
 He appointed Robert of Jumièges archbishop of Canterbury and made Ralph the Timid earl of Hereford	Who did Edward make archbishop of Canterbury?	Robert of Jumièges	0	1
 Complexity measures are very generally defined by the Blum complexity axioms	How are complexity measures generally not defined?	Blum complexity axioms	1	1
 This is usually taken to be the size of the input in bits	In what unit is the size of the input measured?	bits	0	1
A function problem is a computational problem where a single output (of a total function) is expected for every input, but the output is more complex than that of a decision problem, that is, it isn't just yes or no	Is the output of a functional problem typically characterized by a simple or complex answer?	complex	0	1
 Meanwhile, they occupied Petrela, the citadel of Mili at the banks of the river Deabolis, Gllavenica (Ballsh), Kanina and Jericho	Where did the Normans and Byzantines sign the peace treaty?	Deabolis	0	1
 A decision problem A can be solved in time f(n) if there exists a Turing machine operating in time f(n) that solves the problem	How can decision problem B be solved in time x(f)?	Turing machine operating in time f(n)	1	1
 If we allow polynomial variations in running time, Cobham-Edmonds thesis states that "the time complexities in any two reasonable and general models of computation are polynomially related" (Goldreich 2008, Chapter 1	What thesis specifies that a trinomial relationship exists within time complexities in a computational model?	Cobham-Edmonds	1	1
Computational complexity theory is a branch of the theory of computation in theoretical computer science that focuses on classifying computational problems according to their inherent difficulty, and relating those classes to each other	What is the term for a task that generally lends itself to being solved by a computer?	computational problem	0	1
A function problem is a computational problem where a single output (of a total function) is expected for every input, but the output is more complex than that of a decision problem, that is, it isn't just yes or no	The traveling salesman problem is an example of what type of problem?	function problem	0	1
To further highlight the difference between a problem and an instance, consider the following instance of the decision version of the traveling salesman problem: Is there a route of at most 2000 kilometres passing through all of Germany's 15 largest cities? The quantitative answer to this particular problem instance is of little use for solving other instances of the problem, such as asking for a round trip through all sites in Milan whose total length is at most 10 km	How many miles does the traveling salesman problem seek to classify a route between the 15 smallest cities in Germany?	2000 kilometres	1	1
In England, the period of Norman architecture immediately succeeds that of the Anglo-Saxon and precedes the Early Gothic	What architecture type came after Early Gothic?	Norman architecture	1	1
Many machine models different from the standard multi-tape Turing machines have been proposed in the literature, for example random access machines	What is not an example of a machine model that deviates from a generally accepted multi-tape Turing machine?	random access machines	1	1
 However, the running time may, in general, depend on the instance	What is one variable which the running of time be not be contingent?	instance	1	1
Soon after the Normans began to enter Italy, they entered the Byzantine Empire and then Armenia, fighting against the Pechenegs, the Bulgars, and especially the Seljuk Turks	Who entered Italy soon after the Byzantine Empire?	Normans	1	1
 For this reason, complexity theory addresses computational problems and not particular problem instances	What does computational simplicity theory most specifically seek to answer?	computational problems	1	1
 A key distinction between analysis of algorithms and computational complexity theory is that the former is devoted to analyzing the amount of resources needed by a particular algorithm to solve a problem, whereas the latter asks a more general question about all possible algorithms that could be used to solve the same problem	What is the process that asks a more specific question about all possible algorithms that could not be used to solve the same problem?	computational complexity theory	1	1
The further decline of Byzantine state-of-affairs paved the road to a third attack in 1185, when a large Norman army invaded Dyrrachium, owing to the betrayal of high Byzantine officials	Who attacked Dyrrachium in the 11th century?	a large Norman army	1	1
Between 1402 and 1405, the expedition led by the Norman noble Jean de Bethencourt and the Poitevine Gadifer de la Salle conquered the Canarian islands of Lanzarote, Fuerteventura and El Hierro off the Atlantic coast of Africa	What continent are the Canarian Islands off the coast of?	Africa	0	1
 The formal language associated with this decision problem is then the set of all connected graphs—of course, to obtain a precise definition of this language, one has to decide how graphs are encoded as binary strings	What is the term for the set of all unconnected graphs related to this decision problem?	formal language	1	1
 Roussel de Bailleul even tried to carve out an independent state in Asia Minor with support from the local population, but he was stopped by the Byzantine general Alexius Komnenos	Who ruined Alexius Komnenos plans for an independent state?	Roussel de Bailleul	1	1
The English name "Normans" comes from the French words Normans/Normanz, plural of Normant, modern French normand, which is itself borrowed from Old Low Franconian Nortmann "Northman" or directly from Old Norse Norðmaðr, Latinized variously as Nortmannus, Normannus, or Nordmannus (recorded in Medieval Latin, 9th century) to mean "Norseman, Viking"	What name comes from the English words Normans/Normanz?	Normans	1	1
 Classes like IP and AM are defined using Interactive proof systems	What system not often define classes like IP and AM/	Interactive proof systems	1	1
Other important complexity classes include BPP, ZPP and RP, which are defined using probabilistic Turing machines; AC and NC, which are defined using Boolean circuits; and BQP and QMA, which are defined using quantum Turing machines	What machine does not define BPP, ZPP, and RP?	probabilistic Turing machines	1	1
Of course, some complexity classes have complicated definitions that do not fit into this framework	Difficulty in establishing a framework for complexity classes can be caused by what variable?	complicated definitions	0	1
To further highlight the difference between a problem and an instance, consider the following instance of the decision version of the traveling salesman problem: Is there a route of at most 2000 kilometres passing through all of Germany's 15 largest cities? The quantitative answer to this particular problem instance is of little use for solving other instances of the problem, such as asking for a round trip through all sites in Milan whose total length is at most 10 km	What is one example of an instance that the qualitative answer to the traveling salesman fails to answer?	asking for a round trip through all sites in Milan	1	1
 Because of this, Ethelred fled to Normandy in 1013, when he was forced from his kingdom by Sweyn Forkbeard	When did Richard II flee to Normandy?	1013	1	1
, the set {0,1}), and thus the strings are bitstrings	What is another term for the the string of a problem question?	bitstrings	1	1
One of the first Norman mercenaries to serve as a Byzantine general was Hervé in the 1050s	When did Herve serve as a Norman general?	1050s	1	1
 For example, a non-deterministic Turing machine is a computational model that is allowed to branch out to check many different possibilities at once	What type of Turing machine can be characterized by checking multiple possibilities at the same time?	non-deterministic	0	1
At Saint Evroul, a tradition of singing had developed and the choir achieved fame in Normandy	What tradition were the Saint-Evroul monks known for?	singing	0	1
 Later, many took up service with the Armenian state further south in Cilicia and the Taurus Mountains	Who did the Turks take up service with?	the Armenian state	1	1
 However, proving lower bounds is much more difficult, since lower bounds make a statement about all possible algorithms that solve a given problem	What is easy about proving lower bounds?	lower bounds make a statement about all possible algorithms that solve a given problem	1	1
Computational complexity theory is a branch of the theory of computation in theoretical computer science that focuses on classifying computational problems according to their inherent difficulty, and relating those classes to each other	What branch of theoretical computer science deals with broadly classifying computational problems by difficulty and class of relationship?	Computational complexity theory	0	1
 The non-deterministic Turing machine has very little to do with how we physically want to compute algorithms, but its branching exactly captures many of the mathematical models we want to analyze, so that non-deterministic time is a very important resource in analyzing computational problems	What is the least critical resource in the analysis of computational problems associated with non-deterministic Turing machines?	non-deterministic time	1	1
 Many churches preserve sculptured fonts, capitals, and more importantly mosaics, which were common in Norman Italy and drew heavily on the Greek heritage	What is the most important type of Norman art preserved in churches?	mosaics	0	1
 However, in the early 11th century the dukes began a programme of church reform, encouraging the Cluniac reform of monasteries and patronising intellectual pursuits, especially the proliferation of scriptoria and the reconstitution of a compilation of lost illuminated manuscripts	When did the church reform begin?	early 11th century	0	1
Normandy was the site of several important developments in the history of classical music in the 11th century	In what century did important classical music developments occur in Normandy?	11th	0	1
The legendary religious zeal of the Normans was exercised in religious wars long before the First Crusade carved out a Norman principality in Antioch	What war occured in the 1oth century?	First Crusade	1	1
 The formal language associated with this decision problem is then the set of all connected graphs—of course, to obtain a precise definition of this language, one has to decide how graphs are encoded as binary strings	What encoding decision needs to be made in order to determine an exact definition of the formal language?	how graphs are encoded as binary strings	0	1
 A Turing machine M is said to operate within time f(n), if the time required by M on each input of length n is at most f(n)	What is the most critical resource measured to in assessing the determination of a Turing machine's ability to solve any given set of problems?	f(n).	0	1
 King Malcolm III of Scotland married Edgar's sister Margaret, and came into opposition to William who had already disputed Scotland's southern borders	Who did Edgar marry?	Edgar's sister Margaret	1	1
The descendants of Rollo's Vikings and their Frankish wives would replace the Norse religion and Old Norse language with Catholicism (Christianity) and the Gallo-Romance language of the local people, blending their maternal Frankish heritage with Old Norse traditions and customs to synthesize a unique "Norman" culture in the north of France	What did maternal Old Norse traditions merge with?	Gallo-Romance language of the local people, blending their maternal Frankish heritage	1	1
A deterministic Turing machine is the most basic Turing machine, which uses a fixed set of rules to determine its future actions	What uses a flexible set of rules to determine its future actions?	deterministic Turing machine	1	1
 A decision problem is a special type of computational problem whose answer is either yes or no, or alternately either 1 or 0	What are the two integer responses to a decision problem?	yes or no, or alternately either 1 or 0	0	1
 What all these models have in common is that the machines operate deterministically	What commonality do alternate machine models, such as random access machines, share with Turing machines?	the machines operate deterministically	0	1
Several families of Byzantine Greece were of Norman mercenary origin during the period of the Comnenian Restoration, when Byzantine emperors were seeking out western European warriors	Where were several Norman mercenary familes originate from?	Byzantine Greece	1	1
 These centres were in contact with the so-called "Winchester school", which channeled a pure Carolingian artistic tradition to Normandy	Who experienced aa golden age in the 1100s and 1200s	Normandy	1	1
 For example, the multiplication of two integers can be expressed as the set of triples (a, b, c) such that the relation a × b = c holds	If two integers are multiplied and output a value, what is this expression set called?	the set of triples	0	1
 The complexity of an algorithm is usually taken to be its worst-case complexity, unless specified otherwise	What is usually taken as the best case complexity, unless specified otherwise?	complexity of an algorithm	1	1
A problem is regarded as inherently difficult if its solution requires significant resources, whatever the algorithm used	What method is not used to intuitively assess or quantify the amount of resources required to solve a computational problem??	algorithm	1	1
The best, worst and average case complexity refer to three different ways of measuring the time complexity (or any other complexity measure) of different inputs of the same size	What three different ways are used to measure space complexity?	best, worst and average case	1	1
For the complexity classes defined in this way, it is desirable to prove that relaxing the requirements on (say) computation time indeed defines a bigger set of problems	What is an example of a measurement within a complexity class that would create a bigger set of problems if the bounds were relaxed?	computation time	0	1
 The Duchy of Normandy, which began in 911 as a fiefdom, was established by the treaty of Saint-Clair-sur-Epte between King Charles III of West Francia and the famed Viking ruler Rollo, and was situated in the former Frankish kingdom of Neustria	What treaty was established in the 9th century?	Saint-Clair-sur-Epte	1	1
 Edward the Confessor had set up the aforementioned Ralph as earl of Hereford and charged him with defending the Marches and warring with the Welsh	Where was Ralph earl of?	Hereford	0	1
In England, the period of Norman architecture immediately succeeds that of the Anglo-Saxon and precedes the Early Gothic	What architecture type came before Norman in England?	Early Gothic	0	1
 Although time and space are the most well-known complexity resources, any complexity measure can be viewed as a computational resource	What are the least well known complexity resources?	time and space	1	1
By far the most famous work of Norman art is the Bayeux Tapestry, which is not a tapestry but a work of embroidery	What is the oldest work of Norman art?	Bayeux Tapestry	1	1
 In 1418, Jean's nephew Maciot de Bethencourt sold the rights to the islands to Enrique Pérez de Guzmán, 2nd Count de Niebla	Who sold the rights?	Maciot de Bethencourt	0	1
Other important complexity classes include BPP, ZPP and RP, which are defined using probabilistic Turing machines; AC and NC, which are defined using Boolean circuits; and BQP and QMA, which are defined using quantum Turing machines	AC and NC are complexity classes typically associated with what type of circuit?	Boolean	0	1
 However, proving lower bounds is much more difficult, since lower bounds make a statement about all possible algorithms that solve a given problem	What is the colloquial phrase used to convey the continuum of algorithms with unlimited availability irrespective of time? 	all possible algorithms	0	1
The customary law of Normandy was developed between the 10th and 13th centuries and survives today through the legal systems of Jersey and Guernsey in the Channel Islands	Where are Jersey and Guernsey	the Channel Islands	0	1
 The Raoulii were descended from an Italo-Norman named Raoul, the Petraliphae were descended from a Pierre d'Aulps, and that group of Albanian clans known as the Maniakates were descended from Normans who served under George Maniaces in the Sicilian expedition of 1038	Who did the Normans serve under in the 10th century?	George Maniaces	1	1
A computational problem can be viewed as an infinite collection of instances together with a solution for every instance	What can be viewed as a limited collection of instances together with a solution for every instance?	computational problem	1	1
 To show an upper bound T(n) on the time complexity of a problem, one needs to show only that there is a particular algorithm with running time at most T(n)	When does one not need to show only that there is a particular algorithm running time at mons T(nO?	To show an upper bound T(n) on the time complexity of a problem	1	1
 In southern Italy, the Normans incorporated elements of Islamic, Lombard, and Byzantine building techniques into their own, initiating a unique style known as Norman-Arab architecture within the Kingdom of Sicily	What place had the Norman Arab architectural style?	Kingdom of Sicily	0	1
A problem is regarded as inherently difficult if its solution requires significant resources, whatever the algorithm used	What measure of a computational problem broadly defines the inherent difficulty of the solution?	significant resources	0	1
Subsequent to the Conquest, however, the Marches came completely under the dominance of William's most trusted Norman barons, including Bernard de Neufmarché, Roger of Montgomery in Shropshire and Hugh Lupus in Cheshire	What came under Williams dominace before the conquest?	the Marches	1	1
The legendary religious zeal of the Normans was exercised in religious wars long before the First Crusade carved out a Norman principality in Antioch	Where did the Normans carve out a principality before the First Crusade?	Antioch	1	1
 They are all equally powerful in principle, but when resources (such as time or space) are bounded, some of these may be more powerful than others	What are two factors that directly effect how powerful a Turing machine may or may not be?	when resources (such as time or space) are bounded	0	1
 However, in the early 11th century the dukes began a programme of church reform, encouraging the Cluniac reform of monasteries and patronising intellectual pursuits, especially the proliferation of scriptoria and the reconstitution of a compilation of lost illuminated manuscripts	Who began a program of church reform in the 1100s	the dukes	1	1
The English name "Normans" comes from the French words Normans/Normanz, plural of Normant, modern French normand, which is itself borrowed from Old Low Franconian Nortmann "Northman" or directly from Old Norse Norðmaðr, Latinized variously as Nortmannus, Normannus, or Nordmannus (recorded in Medieval Latin, 9th century) to mean "Norseman, Viking"	What is the original meaning of the word Norman?	Norseman, Viking	0	1
 They were prominent alongside Varangian and Lombard contingents in the Sicilian campaign of George Maniaces in 1038–40	During what campaign did the Vargian and Lombard fight?	George Maniaces	1	1
Of course, some complexity classes have complicated definitions that do not fit into this framework	Complexity classes are generally classified into what?	complicated definitions	0	1
 A Norman named Oursel led a force of "Franks" into the upper Euphrates valley in northern Syria	What Frank led Norman forces?	Oursel	1	1
Many important complexity classes can be defined by bounding the time or space used by the algorithm	Bounding of time and space or similar measurements is often used by algorithms to define what?	complexity classes	0	1
A function problem is a computational problem where a single output (of a total function) is expected for every input, but the output is more complex than that of a decision problem, that is, it isn't just yes or no	What is a computational solution where a single input is expected for every input?	function problem	1	1
A deterministic Turing machine is the most basic Turing machine, which uses a fixed set of rules to determine its future actions	What is generally considered to be the most basic iteration of a Turing machine?	A deterministic Turing machine	0	1
 In contrast, an instance of this problem is a rather concrete utterance, which can serve as the input for a decision problem	What term refers to the concrete question to be solved?	utterance	1	1
 The non-deterministic Turing machine has very little to do with how we physically want to compute algorithms, but its branching exactly captures many of the mathematical models we want to analyze, so that non-deterministic time is a very important resource in analyzing computational problems	A non-deterministic Turing machine has the ability to capture what facet of useful analysis?	non-deterministic time	0	1
 Lombard Salerno was a centre of ivorywork in the 11th century and this continued under Norman domination	What was a centre of ivorywork in the 1100s?	Lombard Salerno	1	1
 The Normans were famed for their martial spirit and eventually for their Christian piety, becoming exponents of the Catholic orthodoxy into which they assimilated	What religion were the Normans	Christian	0	1
 All declared their support for Richard provided that he support Guy against his rival Conrad of Montferrat	Who was Guy's Rival?	Conrad of Montferrat	0	1
 The ability to make probabilistic decisions often helps algorithms solve problems more efficiently	What does not often help algorithms solve problems more efficiently?	probabilistic decisions	1	1
 A decision problem is a special type of computational problem whose answer is either yes or no, or alternately either 1 or 0	What answer denotes that a solution has accepted an input string?	yes	1	1
Many types of Turing machines are used to define complexity classes, such as deterministic Turing machines, probabilistic Turing machines, non-deterministic Turing machines, quantum Turing machines, symmetric Turing machines and alternating Turing machines	Turing machines are commonly employed to define what? 	complexity classes	0	1
In the visual arts, the Normans did not have the rich and distinctive traditions of the cultures they conquered	What kind of art did the Normans have a rich tradition of?	visual arts	1	1
The further decline of Byzantine state-of-affairs paved the road to a third attack in 1185, when a large Norman army invaded Dyrrachium, owing to the betrayal of high Byzantine officials	Who betrayed the Normans?	high Byzantine officials	1	1
 For instance, the language {xx | x is any binary string} can be solved in linear time on a multi-tape Turing machine, but necessarily requires quadratic time in the model of single-tape Turing machines	What can not be solved in linear time on multi-tape Turing machine?	the language	1	1
 Other complexity measures are also used, such as the amount of communication (used in communication complexity), the number of gates in a circuit (used in circuit complexity) and the number of processors (used in parallel computing)	What unit is measured to determine circuit complexity?	number of gates in a circuit	0	1
One of the first Norman mercenaries to serve as a Byzantine general was Hervé in the 1050s	When did Herve serve as a Byzantine general?	1050s	0	1
 This relationship eventually produced closer ties of blood through the marriage of Emma, sister of Duke Richard II of Normandy, and King Ethelred II of England	To where did Ethelred flee?	Normandy	0	1
Upper and lower bounds are usually stated using the big O notation, which hides constant factors and smaller terms	What does not hide constant factors or smaller terms?	big O notation	1	1
 King David I of Scotland, whose elder brother Alexander I had married Sybilla of Normandy, was instrumental in introducing Normans and Norman culture to Scotland, part of the process some scholars call the "Davidian Revolution"	What did Sybilla of Normandy introduce to Scotland?	Normans and Norman culture	1	1
 A Norman named Oursel led a force of "Franks" into the upper Euphrates valley in northern Syria	Who was the leader when the Franks entered the Euphrates valley?	Oursel	0	1
The customary law of Normandy was developed between the 10th and 13th centuries and survives today through the legal systems of Jersey and Guernsey in the Channel Islands	What law has 3 customeries?	The customary law of Normandy	1	1
Other important complexity classes include BPP, ZPP and RP, which are defined using probabilistic Turing machines; AC and NC, which are defined using Boolean circuits; and BQP and QMA, which are defined using quantum Turing machines	BQP and QMA are examples of complexity classes most commonly associated with what type of Turing machine?	quantum	0	1
The Normans had a profound effect on Irish culture and history after their invasion at Bannow Bay in 1169	Where did the Normans invade in the 11th century?	Bannow Bay	1	1
 Complexity theory is interested in how algorithms scale with an increase in the input size	Complexity theory seeks to define the relationship between the scale of algorithms with respect to what other variable?	input size	0	1
 King David I of Scotland, whose elder brother Alexander I had married Sybilla of Normandy, was instrumental in introducing Normans and Norman culture to Scotland, part of the process some scholars call the "Davidian Revolution"	Who did King David I of Scotland Marry?	Sybilla of Normandy	1	1
A few years after the First Crusade, in 1107, the Normans under the command of Bohemond, Robert's son, landed in Valona and besieged Dyrrachium using the most sophisticated military equipment of the time, but to no avail	Who was Robert's son?	Bohemond	0	1
 They were major foreign participants in the Reconquista in Iberia	What did the Normans take part in in the 10th century?	Reconquista	1	1
If the input size is n, the time taken can be expressed as a function of n	If input size is is equal to n, what can respectively be assumed is the function of n?	the time taken	0	1
 The input is an arbitrary graph	What type of graph is an example of an output used in a decision problem?	arbitrary	1	1
 The invading Normans and their descendants replaced the Anglo-Saxons as the ruling class of England	Who replaced the Normans as the ruling class?	The invading Normans and their descendants	1	1
Various princes of the Holy Land arrived in Limassol at the same time, in particular Guy de Lusignan	Who led Issacs troops to Cyprus?	Guy de Lusignan	1	1
The Norman dynasty had a major political, cultural and military impact on medieval Europe and even the Near East	What type of major impact did the Norman dynasty have on modern Europe?	political, cultural and military	1	1
 Under the Norman abbot Robert de Grantmesnil, several monks of Saint-Evroul fled to southern Italy, where they were patronised by Robert Guiscard and established a Latin monastery at Sant'Eufemia	What monastery did the Saint-Evroul monks establish in Italy?	Sant'Eufemia	0	1
The descendants of Rollo's Vikings and their Frankish wives would replace the Norse religion and Old Norse language with Catholicism (Christianity) and the Gallo-Romance language of the local people, blending their maternal Frankish heritage with Old Norse traditions and customs to synthesize a unique "Norman" culture in the north of France	What part of France were the Normans located?	north	0	1
 For instance, the language {xx | x is any binary string} can be solved in linear time on a multi-tape Turing machine, but necessarily requires quadratic time in the model of single-tape Turing machines	What is not a binary string?	the language	1	1
 For example, a non-deterministic Turing machine is a computational model that is allowed to branch out to check many different possibilities at once	What machine's branching does not exactly capture many of the mathematical models we want to analyze?	non-deterministic Turing machine	1	1
The English name "Normans" comes from the French words Normans/Normanz, plural of Normant, modern French normand, which is itself borrowed from Old Low Franconian Nortmann "Northman" or directly from Old Norse Norðmaðr, Latinized variously as Nortmannus, Normannus, or Nordmannus (recorded in Medieval Latin, 9th century) to mean "Norseman, Viking"	When was the Latin version of the word Norman first recorded?	9th century	0	1
 Earlier Viking settlers had begun arriving in the 880s, but were divided between colonies in the east (Roumois and Pays de Caux) around the low Seine valley and in the west in the Cotentin Peninsula, and were separated by traditional pagii, where the population remained about the same with almost no foreign settlers	When did Rollo begin to arrive in Normandy?	880s	1	1
 For example, a non-deterministic Turing machine is a computational model that is allowed to branch out to check many different possibilities at once	What type of machine is a computational model that is not allowed to branch out to check many different possibilities at once?	non-deterministic Turing machine	1	1
 Malcolm submitted, paid homage to William and surrendered his son Duncan as a hostage, beginning a series of arguments as to whether the Scottish Crown owed allegiance to the King of England	Who was the hostage?	his son Duncan	0	1
 King Malcolm III of Scotland married Edgar's sister Margaret, and came into opposition to William who had already disputed Scotland's southern borders	Who was Margaret's husband?	King Malcolm III of Scotland	0	1
 For example, integers can be represented in binary notation, and graphs can be encoded directly via their adjacency matrices, or by encoding their adjacency lists in binary	What is one way in which graphs can be encoded? 	directly via their adjacency matrices	0	1
 Usually, the alphabet is taken to be the binary alphabet (i	What is the name of the alphabet is most commonly used in a problem instance?	binary alphabet	0	1
 #P is an important complexity class of counting problems (not decision problems)	What is the expression used to represent a complexity class of counting problems?	#P	0	1
 However, the running time may, in general, depend on the instance	What is one variable on which the running time may be contingent?	the instance	0	1
