context	question	pred_answer	label	pred_verify
 Therefore, most Ersatzschulen have very low tuition fees and/or offer scholarships, compared to most other Western European countries	What kind of tuition is charged if you enroll in a Sonderungsverbot?	low	1	1
 Invitations to address Parliament in this manner are determined by the Presiding Officer on the advice of the parliamentary bureau	Who decides who gets to address the members of Parliament to share their thoughts on issues of faith?	the Presiding Officer	0	0
 One class of non-self molecules are called antigens (short for antibody generators) and are defined as substances that bind to specific immune receptors and elicit an immune response	What term is shorthand for antibody generators?	antigens	0	1
 Initially built with three layers, it later (1982) evolved into a seven-layer OSI-compliant networking protocol	DEC originally had 3 layers but evolved into how many layers 	seven-layer	0	0
Baran developed the concept of distributed adaptive message block switching during his research at the RAND Corporation for the US Air Force into survivable communications networks, first presented to the Air Force in the summer of 1961 as briefing B-265, later published as RAND report P-2626 in 1962, and finally in report RM 3420 in 1964	Assuming the Air Force paid for the development of the concept, then would the Air Force be entitled to a royalty fee for every packet sent?	survivable communications networks, first presented to the Air Force in the summer of 1961 as briefing B-265	1	0
 The theory formalizes this intuition, by introducing mathematical models of computation to study these problems and quantifying the amount of resources needed to solve them, such as time and storage	What are two basic primary resources used to guage complexity?	time and storage	0	0
 The graph isomorphism problem, the discrete logarithm problem and the integer factorization problem are examples of problems believed to be NP-intermediate	What is not example of an NP-intermediate problem not known to exist in P or NP-complete?	The graph isomorphism problem, the discrete logarithm problem and the integer factorization problem	1	1
The acme of the horizontal engine was the Corliss steam engine, patented in 1849, which was a four-valve counter flow engine with separate steam admission and exhaust valves and automatic variable steam cutoff	In what year was the Corliss engine patented?	1849	0	1
 Jawed vertebrates, including humans, have even more sophisticated defense mechanisms, including the ability to adapt over time to recognize specific pathogens more efficiently	What is known for adapting and evolving slowly?	Jawed vertebrates	1	1
In regard to companies, the Court of Justice held in R (Daily Mail and General Trust plc) v HM Treasury that member states could restrict a company moving its seat of business, without infringing TFEU article 49	Which newspaper's parent company could not evade tax by shifting its residence to the Netherlands?	Daily Mail	0	1
 Lenin wrote extensively on the matter and famously declared that Imperialism was the highest stage of capitalism	Who wrote that imperialism is the highest stage of capitalism?	Lenin	0	1
 Among them, the original Fresno County Courthouse (demolished), the Fresno Carnegie Public Library (demolished), the Fresno Water Tower, the Bank of Italy Building, the Pacific Southwest Building, the San Joaquin Light & Power Building (currently known as the Grand 1401), and the Hughes Hotel (burned down), to name a few	What is the name of the hotel that was renamed the Grand 1401? 	San Joaquin Light & Power Building	1	1
 However, more recent testing of this theory with superior panel data has shown it to be very weak	What has recent testing of Kuznets theory with superior data show it to be?	very weak	0	1
 Some are simultaneous hermaphrodites, which can produce both eggs and sperm at the same time	What can a simultaneous hermaphrodite do?	produce both eggs and sperm at the same time	0	1
 KMJ is now known as NBC affiliate KSEE	What is KMJ now referred to?	NBC affiliate KSEE	0	1
 He believed that complete imitation of the Prophet Mohammad and his successors such as Ali for restoration of Sharia law was essential to Islam, that many secular, Westernizing Muslims were actually agents of the West serving Western interests, and that the acts such as "plundering" of Muslim lands was part of a long-term conspiracy against Islam by the Western governments	hat long term agenda was the acts of plundering Muslim lands by the East?	conspiracy against Islam	1	0
A regulation of the Rhine was called for, with an upper canal near Diepoldsau and a lower canal at Fußach, in order to counteract the constant flooding and strong sedimentation in the western Rhine Delta	Where is the western canal regulation of the Rhine?	near Diepoldsau and a lower canal at Fußach	1	1
Soon after the Normans began to enter Italy, they entered the Byzantine Empire and then Armenia, fighting against the Pechenegs, the Bulgars, and especially the Seljuk Turks	Who entered Italy soon after the Byzantine Empire?	the Normans	1	1
 Meanwhile, the relationship between non-human primates in the subsistence and symbolism of indigenous lowland South American peoples has gained increased attention, as have ethno-biology and community-based conservation efforts	Indigenous territories are being preserved through what type of conservation efforts?	community-based	1	0
 Meanwhile, the relationship between non-human primates in the subsistence and symbolism of indigenous lowland South American peoples has gained increased attention, as have ethno-biology and community-based conservation efforts	What type of conservation effort is gaining attention in the Amazon?	community-based	0	0
 Evidence from China a year later suggests that such ctenophores were widespread in the Cambrian, but perhaps very different from modern species – for example one fossil's comb-rows were mounted on prominent vanes	How many prominent tentacles were found 1996?	such	1	1
 Their descendants in many families continued to use French first names and surnames for their children well into the nineteenth century	In what century was Eleutherian gunpowder mills founded?	nineteenth century	1	1
There have been debates as to whether civil disobedience must necessarily be non-violent	What does Black's Law Dictionary say that rebellion doesn't have to be?	non-violent	1	1
Committees comprise a small number of MSPs, with membership reflecting the balance of parties across Parliament	What do the membership of the committees reflect?	the balance of parties across Parliament	0	0
 They are usually expensive schools that tend to be up-market and traditional in style, some Catholic schools fall into this category as well, e	What denomination operates St Joseph's College?	Catholic	0	0
 Eaton trail system will cover 22 miles (35 km) between Highway 99 and Friant Dam	How many miles, once completed, will the the Lewis S. Eaton trail cover?	22	0	1
 There is criticism that American energy policies since the crisis have been dominated by crisis-mentality thinking, promoting expensive quick fixes and single-shot solutions that ignore market and technology realities	There is criticism that the energy policies are expensive quick fixes that ignore which facts?	market and technology	0	1
5°E), enabled the company to launch a new all-digital service, Sky, with the potential to carry hundreds of television and radio channels	How many television and radio channels could the new digital service carry?	hundreds	0	0
Michael Oppenheimer, a long-time participant in the IPCC and coordinating lead author of the Fifth Assessment Report conceded in Science Magazine's State of the Planet 2008-2009 some limitations of the IPCC consensus approach and asks for concurring, smaller assessments of special problems instead of the large scale approach as in the previous IPCC assessment reports	What approach did Oppenheimer advocate?	IPCC consensus approach	0	1
 The Mongols practiced debt slavery, and by 1290 in all parts of the Mongol Empire commoners were selling their children into slavery	How weren't the Mongol garrison families earning money?	debt slavery	1	1
 Third, people must receive equal treatment regarding "social advantages", although the Court has approved residential qualifying periods	What did not set out the main provision on equal treatment of workers?	the Court has approved residential qualifying periods	1	1
 They retained the religious provisions of the Edict of Nantes until the rule of Louis XIV, who progressively increased persecution of them until he issued the Edict of Fontainebleau (1685), which abolished all legal recognition of Protestantism in France, and forced the Huguenots to convert	When was this edict declared?	1685	0	1
 The Yuan dynasty is also known as the "Mongol dynasty" or "Mongol Dynasty of China", similar to the names "Manchu dynasty" or "Manchu Dynasty of China" for the Qing dynasty	What was the Yuan dynasty called in Mongolian?	Mongol dynasty	0	0
 Victorian farms produce nearly 90% of Australian pears and third of apples	How much of Victoria produced Australian peaches?	90%	1	0
Islamists have asked the question, "If Islam is a way of life, how can we say that those who want to live by its principles in legal, social, political, economic, and political spheres of life are not Muslims, but Islamists and believe in Islamism, not [just] Islam?" Similarly, a writer for the International Crisis Group maintains that "the conception of 'political Islam'" is a creation of Americans to explain the Iranian Islamic Revolution and apolitical Islam was a historical fluke of the "short-lived era of the heyday of secular Arab nationalism between 1945 and 1970", and it is quietist/non-political Islam, not Islamism, that requires explanation	 When was the heyday of secular non-Arab nationalism?	between 1945 and 1970	1	1
 The UK, Germany, Italy, Switzerland and Norway banned flying, driving and boating on Sundays	What did the UK ban on Sundays due to the embargo?	flying, driving and boating	1	1
 In the 18th century, Pierre-Louis Moreau de Maupertuis made experiments with scorpion venom and observed that certain dogs and mice were immune to this venom	What scientist experimented with snake venom in the 18th century?	Pierre-Louis Moreau de Maupertuis	1	1
 He bequeathed a major portion of his estate in 1968 to provide a regional park and bird sanctuary in Northeast Fresno	When did Ralph Woodward come to Fresno?	1968	1	1
Though there is no official definition for the northern boundary of southern California, such a division has existed from the time when Mexico ruled California, and political disputes raged between the Californios of Monterey in the upper part and Los Angeles in the lower part of Alta California	Who were there disputes between when California ruled Mexico?	Californios	1	1
 Khublai evoked his public image as a sage emperor by following the rituals of Confucian propriety and ancestor veneration, while simultaneously retaining his roots as a leader from the steppes	 What rituals did Kublai follow to destroy his image?	Confucian propriety and ancestor veneration	1	0
 Some schools offer the removal of the purported distractions of co-education; the presence of boarding facilities; or stricter discipline based on their power of expulsion, a tool not readily available to government schools	What power is available to Australian private schools but generally not present in public schools?	expulsion	0	1
Some have described the internal strife between various people groups as a form of imperialism or colonialism	Some people describe what between individuals or groups as non-imperialism or non-colonialism?	internal strife	1	0
 The preparation and approval process for all IPCC Special Reports follows the same procedures as for IPCC Assessment Reports	How does the IPCC prepare Special Reports?	follows the same procedures as for IPCC Assessment Reports	0	0
 It had significantly eased trade and commerce across Asia until its decline; the communications between Yuan dynasty and its ally and subordinate in Persia, the Ilkhanate, encouraged this development	What was the Yuan's Persian ally?	Ilkhanate	0	1
 The skin and respiratory tract secrete antimicrobial peptides such as the β-defensins	What are the anitmicrobial peptides secreted by the skin called?	β-defensins	0	0
 Depending on the water level, this flow of the Rhine water is clearly visible along the entire length of the lake	What does the flow of the Rhine being visible depend on?	the water level	0	1
 A house that provides less utility to a millionaire as a summer home than it would to a homeless family of five, is an example of reduced "distributive efficiency" within society, that decreases marginal utility of wealth and thus the sum total of personal utility	A dollar spent by a poor person is likely to provide what for them?	utility	0	0
" For many years it was unclear how NK cells recognize tumor cells and infected cells	How long was it clear how NK cells recognized tumors?	years	1	1
 Some of the leaders of the Eureka rebellion went on to become members of the Victorian Parliament	What did some leaders of the British rebellion become?	members of the Victorian Parliament	1	1
 They publish a list of the largest companies in the United States (Top-40) and also a list the largest global firms (Top-250, by amount of work they are doing outside their home country)	What does  a list of top 250 transportation markets published show?	by amount of work they are doing outside their home country	1	1
In literature, author of the New York Times bestseller Before I Fall Lauren Oliver, Pulitzer Prize winning novelist Philip Roth, Canadian-born Pulitzer Prize and Nobel Prize for Literature winning writer Saul Bellow, political philosopher, literary critic and author of the New York Times bestseller "The Closing of the American Mind" Allan Bloom, ''The Good War" author Studs Terkel, American writer, essayist, filmmaker, teacher, and political activist Susan Sontag, analytic philosopher and Stanford University Professor of Comparative Literature Richard Rorty, and American writer and satirist Kurt Vonnegut are notable alumni	Who wrote the American Times bestselling book titled "The Closing of the American Mind"?	Allan Bloom	1	0
 The Rhine roughly forms the German-Swiss border from Lake Constance with the exceptions of the canton of Schaffhausen and parts of the cantons of Zürich and Basel-Stadt, until it turns north at the so-called Rhine knee at Basel, leaving Switzerland	Where is the so-called Rhine Knee?	Basel	0	1
A few years after the First Crusade, in 1107, the Normans under the command of Bohemond, Robert's son, landed in Valona and besieged Dyrrachium using the most sophisticated military equipment of the time, but to no avail	Who did Robert lead agains Dyrrachium in 1107?	Bohemond	1	1
 The war was fought between the colonies of British America and New France, with both sides supported by military units from their parent countries of Great Britain and France, as well as Native American allies	Who allied in the French and Indian war?	British America and New France	1	1
Within the genitourinary and gastrointestinal tracts, commensal flora serve as biological barriers by competing with pathogenic bacteria for food and space and, in some cases, by changing the conditions in their environment, such as pH or available iron	What tracts does commensal flora help pathogens thrive in?	genitourinary and gastrointestinal	1	1
The earliest recorded incidents of collective civil disobedience took place during the Roman Empire[citation needed]	What took place during the Mexian War?	civil disobedience	1	1
 Duty is the number of foot-pounds of work delivered by burning one bushel (94 pounds) of coal	What was the ideal duty of a Newcomen engine?	burning one bushel (94 pounds) of coal	0	1
In the centre of Basel, the first major city in the course of the stream, is located the "Rhine knee"; this is a major bend, where the overall direction of the Rhine changes from West to North	What is the first major city in the course of the Rhine?	Basel	0	1
 In bays where they occur in very high numbers, predation by ctenophores may control the populations of small zooplanktonic organisms such as copepods, which might otherwise wipe out the phytoplankton (planktonic plants), which are a vital part of marine food chains	What is one thing that copepods like to eat?	phytoplankton	1	1
Civil disobedience is usually defined as pertaining to a citizen's relation to the state and its laws, as distinguished from a constitutional impasse in which two public agencies, especially two equally sovereign branches of government, conflict	What two public agencies conflict under the defnintion of civil disobedience?	two equally sovereign branches of government	1	0
 Thus, in a market economy, inequality is a reflection of the productivity gap between highly-paid professions and lower-paid professions	What is the term that describes the indifference between what higher paid and lower paid professionals earn?	inequality	1	0
 Other Fresno stations include ABC O&O KFSN, CBS affiliate KGPE, CW affiliate KFRE, FOX affiliate KMPH, MNTV affiliate KAIL, PBS affiliate KVPT, Telemundo O&O KNSO, Univision O&O KFTV, and MundoFox and Azteca affiliate KGMC-DT	What is the name of the CBS affiliate in Fresno?	KGPE	0	0
 Although time and space are the most well-known complexity resources, any complexity measure can be viewed as a computational resource	What type of measure is communication complexity not an example of?	computational resource	1	1
 McDonald subsequently became a leading performer on Broadway in New York City and a Tony award winning actress	What type of award did Roger Rocka win?	Tony	1	1
Kublai readied the move of the Mongol capital from Karakorum in Mongolia to Khanbaliq in 1264, constructing a new city near the former Jurchen capital Zhongdu, now modern Beijing, in 1266	Where did Kublai move the Mongol capital to?	Khanbaliq	0	1
 Seven Days to the River Rhine was a Warsaw Pact war plan for an invasion of Western Europe during the Cold War	How long did the Cold War last?	Seven Days	1	1
 Self-fertilization has occasionally been seen in species of the genus Mnemiopsis, and it is thought that most of the hermaphroditic species are self-fertile	What has sometimes been seen in species of the genus Ocryopsis?	Self-fertilization	1	0
 Oxygen also occurs in phosphate (PO3−
4) groups in the biologically important energy-carrying molecules ATP and ADP, in the backbone and the purines (except adenine) and pyrimidines of RNA and DNA, and in bones as calcium phosphate and hydroxylapatite	What are APT and ADP?	ATP	1	0
 The US abandoned the Gold Exchange Standard whereby the value of the dollar had been pegged to the price of gold and all other currencies were pegged to the dollar, whose value was left to "float" (rise and fall according to market demand)	What does it mean when currencies are left to "float?"	rise and fall	0	0
 Other scientists perform stable isotope studies on the rocks to gain information about past climate	What do Magnetic stratigraphers use isotopes to study?	past climate	1	1
 The IPCC has since acknowledged that the date is incorrect, while reaffirming that the conclusion in the final summary was robust	What did the IPCC say was mistaken?	the date	0	0
 Fully Informed Jury Association activists have sometimes handed out educational leaflets inside courthouses despite admonitions not to; according to FIJA, many of them have escaped prosecution because "prosecutors have reasoned (correctly) that if they arrest fully informed jury leafleters, the leaflets will have to be given to the leafleter's own jury as evidence	Why are people who distribute leaflets inside courthouses not been arrested?	prosecutors have reasoned (correctly) that if they arrest fully informed jury leafleters	0	1
 Since the time taken on different inputs of the same size can be different, the worst-case time complexity T(n) is defined to be the maximum time taken over all inputs of size n	What term corresponds to the minimum measurement of the time across all functions of n?	worst-case time complexity	1	0
 Julia Butterfly Hill lived in Luna, a 180-foot (55 m)-tall, 600-year-old California Redwood tree for 738 days, successfully preventing it from being cut down	How long did Julia Butterfly Hill live in a tree?	600-year	0	0
 The UK refused to sign the Social Charter and was exempt from the legislation covering Social Charter issues unless it agreed to be bound by the legislation	Who did not adopt the Social Charter?	The UK	1	1
 The Scottish Parliament is unable to legislate on such issues that are reserved to, and dealt with at, Westminster (and where Ministerial functions usually lie with UK Government ministers)	Where are issues like abortion and drug policy legislated on?	Westminster	0	1
Britain's imperialist ambitions can be seen as early as the sixteenth century	When is the earliest Britain had an imperialist policy?	sixteenth century	0	1
 He noted that candles burned brighter in the gas and that a mouse was more active and lived longer while breathing it	What effect did breathing Priestley's discovered gas have on the experiment's mouse?	more active and lived longer	0	0
The National Science Foundation Network (NSFNET) was a program of coordinated, evolving projects sponsored by the National Science Foundation (NSF) beginning in 1985 to promote advanced research and education networking in the United States	What is NSFNET	National Science Foundation Network	0	1
It has been argued that the term "civil disobedience" has always suffered from ambiguity and in modern times, become utterly debased	In modern times, what is said about civil disobedience?	become utterly debased	0	0
 Upon their arrival in New Amsterdam, Huguenots were offered land directly across from Manhattan on Long Island for a permanent settlement and chose the harbor at the end of Newtown Creek, becoming the first Europeans to live in Brooklyn, then known as Boschwick, in the neighborhood now known as Bushwick	The Huguenots were the first Europeans to live in what modern New York borough?	Boschwick	0	0
 The legislature of the European Union is principally composed of the European Parliament and the Council of the European Union, which under the Treaties may establish secondary law to pursue the objective set out in the Treaties	The legislature of American Union is principally composed of what?	the European Parliament and the Council of the European Union	1	0
 Outlaws ravaged the country without interference from the weakening Yuan armies	What were the Yuan armies too weak to stop?	Outlaws	0	0
 Louise de Coligny, daughter of the murdered Huguenot leader Gaspard de Coligny, married William the Silent, leader of the Dutch (Calvinist) revolt against Spanish (Catholic) rule	Who was William the Silent's father?	Gaspard de Coligny	1	1
 Thus no problem in C is harder than X, since an algorithm for X allows us to solve any problem in C	What problem in C is harder than X?	no	1	1
 The justification for this is that a lack of education leads directly to lower incomes, and thus lower aggregate savings and investment	What are those with lower incomes less likely to have in order to prepare for the future?	savings and investment	0	1
The Normans (Norman: Nourmands; French: Normands; Latin: Normanni) were the people who in the 10th and 11th centuries gave their name to Normandy, a region in France	When were the Normans in Normandy?	10th and 11th centuries	0	0
 The English Channel, the Irish Channel and most of the North Sea were dry land, mainly because sea level was approximately 120 m (390 ft) lower than today	What is the sea level of the English Channel?	120 m (390 ft) lower than today	1	1
 Any subcontractor has a direct contractual relationship with the main contractor	What is the relationship between the architect and the subcontractor?	direct contractual relationship	1	0
 This relationship eventually produced closer ties of blood through the marriage of Emma, sister of Duke Richard II of Normandy, and King Ethelred II of England	Who was Emma's brother?	Duke Richard II of Normandy	0	1
 Robert Lawrence argues that technological innovation and automation has meant that low-skilled jobs have been replaced by machine labor in wealthier nations, and that wealthier countries no longer have significant numbers of low-skilled manufacturing workers that could be affected by competition from poor countries	What has technological innovation and automation replaced low-skilled jobs with?	machine labor in wealthier nations	0	0
One of the first Norman mercenaries to serve as a Byzantine general was Hervé in the 1050s	Who was the first Byzantine mercenary to serve with the Normans?	Hervé	1	1
Plague was reportedly first introduced to Europe via Genoese traders at the port city of Kaffa in the Crimea in 1347	In what year did Jani Beg become leader of the Mongol army?	1347	1	1
 It is one of the largest and most beautiful roof gardens in Europe with an area of more than 10,000 m2 (107,639	How much area does the University Library garden cover?	more than 10,000 m2 (107,639.10 sq ft)	0	1
 For example, to check the primality of 37, only three divisions are necessary (m = 2, 3, and 5), given that 4 and 6 are composite	How many divisions are required to verify the primality of the number 37?	three	0	0
 The academic content of the academies was usually College Preparatory	What court case desegregated schools in 1970?	academic	1	0
In Afghanistan, the mujahideen's victory against the Soviet Union in the 1980s did not lead to justice and prosperity, due to a vicious and destructive civil war between political and tribal warlords, making Afghanistan one of the poorest countries on earth	What type of civil war was fought between political and tribal warlords?	vicious and destructive	0	0
 The "combs" (also called "ctenes" or "comb plates") run across each row, and each consists of thousands of unusually long cilia, up to 2 millimeters (0	Cilia can g ow up too what length?	2 millimeters	0	0
The Amazon rainforest (Portuguese: Floresta Amazônica or Amazônia; Spanish: Selva Amazónica, Amazonía or usually Amazonia; French: Forêt amazonienne; Dutch: Amazoneregenwoud), also known in English as Amazonia or the Amazon Jungle, is a moist broadleaf forest that covers most of the Amazon basin of South America	Amazonia or the Amazon jungle are no longer used to refer to what?	Amazon rainforest	1	0
 But then, at the so-called Rheinbrech, the Rhine water abruptly falls into the depths because of the greater density of cold water	What water abruptly falls into the depths due to the greater density of warmer water?	the Rhine water	1	1
 It is a single-step, 5-cylinder engine (no compound) with superheated steam and consumes approx	How many cylinders does the Energiprojekt AB engine have?	5	0	0
 Climate fluctuations during the last 34 million years have allowed savanna regions to expand into the tropics	Climate fluctuations have stopped the savanna from doing what?	expand into the tropics	1	0
 The English Channel, the Irish Channel and most of the North Sea were dry land, mainly because sea level was approximately 120 m (390 ft) lower than today	How much lower was the North Sea in the last cold phase than it is today?	120 m	0	0
 Over the next several years in addition to host to host interactive connections the network was enhanced to support terminal to host connections, host to host batch connections (remote job submission, remote printing, batch file transfer), interactive file transfer, gateways to the Tymnet and Telenet public data networks, X	NSF helped the network enhance what?	terminal to host connections, host to host batch connections	1	1
 The most authoritative account at the time came from the medical faculty in Paris in a report to the king of France that blamed the heavens, in the form of a conjunction of three planets in 1345 that caused a "great pestilence in the air"	In what city did the king of France live?	Paris	1	1
 As a practice area and specialist domain, pharmacy informatics is growing quickly to meet the needs of major national and international patient information projects and health system interoperability goals	How fast is pharmacy informatics growing?	quickly	0	1
 The last attempt, the Pico Act of 1859, was passed by the California State Legislature and signed by the State governor John B	Who was the governor of California in 1895?	John B. Weller	1	0
 Deeper in the Earth, rocks behave plastically, and fold instead of faulting	What behaviour causes rocks deeper in the earth to fault instead of folding?	plastically	1	0
The first European to travel the length of the Amazon River was Francisco de Orellana in 1542	Who was the first European to travel the entire length of the Amazon River?	Francisco de Orellana	0	1
The concept of legal certainty is recognised one of the general principles of European Union law by the European Court of Justice since the 1960s	How long has the concept of legal certainty been recognized as one of the general principles by the EU law?	since the 1960s	0	0
In contrast, during wake periods differentiated effector cells, such as cytotoxic natural killer cells and CTLs (cytotoxic T lymphocytes), peak in order to elicit an effective response against any intruding pathogens	What are examples of differentiated effector cells that peak during wake periods?	cytotoxic natural killer cells and CTLs (cytotoxic T lymphocytes)	0	0
 Analyses of sediment deposits from Amazon basin paleolakes and from the Amazon Fan indicate that rainfall in the basin during the LGM was lower than for the present, and this was almost certainly associated with reduced moist tropical vegetation cover in the basin	What was higher during the LGM than the present?	rainfall	1	1
 According to this theory, those who already hold wealth have the means to invest in new sources of creating wealth or to otherwise leverage the accumulation of wealth, thus are the beneficiaries of the new wealth	Who is best able to leverage the accumulation of wealth?	those who already hold wealth	0	1
 Of the organic compounds with biological relevance, carbohydrates contain the largest proportion by mass of oxygen	Which organic compounds contain the greatest amount of oxygen by mass?	carbohydrates	0	0
Southern California is also home to a large home grown surf and skateboard culture	Where are No Fear and RCVA headquartered?	Southern California	1	1
 The Mongol custom of long standing quda/marriage alliance with Mongol clans, the Onggirat, and the Ikeres, kept the imperial blood purely Mongol until the reign of Tugh Temur, whose mother was a Tangut concubine	What was Tugh's Chinese-style name?	Tugh Temur	0	1
 Amazonian evergreen forests account for about 10% of the world's terrestrial primary productivity and 10% of the carbon stores in ecosystems—of the order of 1	The Amazon forest stores what percentage of the world's carbon dioxide	10%	1	0
The Age of Imperialism, a time period beginning around 1700, saw (generally European) industrializing nations engaging in the process of colonizing, influencing, and annexing other parts of the world in order to gain political power	 What were European countries not doing during the 1700's?	annexing other parts of the world	1	1
Imperialism is defined as "A policy of extending a country’s power and influence through diplomacy or military force	Imperialism extends a country's power and what?	influence	0	1
 This is passive immunity because the fetus does not actually make any memory cells or antibodies—it only borrows them	What is not present in breast milk?	memory cells or antibodies	1	1
In 1700 several hundred French Huguenots migrated from England to the colony of Virginia, where the English Crown had promised them land grants in Lower Norfolk County	In what year had Manakin Town first been abandoned?	1700	1	1
Planetary geologists have measured different abundances of oxygen isotopes in samples from the Earth, the Moon, Mars, and meteorites, but were long unable to obtain reference values for the isotope ratios in the Sun, believed to be the same as those of the primordial solar nebula	What molecule does the Sun have in higher proportion than Earth?	oxygen	0	1
 Victoria's total gross state product (GSP) is ranked second in Australia, although Victoria is ranked fourth in terms of GSP per capita because of its limited mining activity	At what rank does GPS per capita set Victoria?	fourth	0	1
 At about 180 MBP, in the Jurassic Period, the two plates reversed direction and began to compress the Tethys floor, causing it to be subducted under Eurasia and pushing up the edge of the latter plate in the Alpine Orogeny of the Oligocene and Miocene Periods	When did the Jurassic Period end?	Miocene	1	0
 This traditional name continues as the standard in the United States, but it obscures the fact that Indians fought on both sides of the conflict, and that this was part of the Seven Years' War, a much larger conflict between France and Great Britain	What was the Seven Years War?	a much larger conflict between France and Great Britain	0	1
In October 2010, the open-access scientific journal PLoS Pathogens published a paper by a multinational team who undertook a new investigation into the role of Yersinia pestis in the Black Death following the disputed identification by Drancourt and Raoult in 1998	In what month was Drancourt and Raoult's research published in 1998?	October	1	0
 Contracts that set out clear expectations and clear paths to accomplishing those expectations are far more likely to result in the project flowing smoothly, whereas poorly drafted contracts lead to confusion and collapse	What leads to confusion and collapse?	poorly drafted contracts	0	1
 Water polluted with plant nutrients such as nitrates or phosphates may stimulate growth of algae by a process called eutrophication and the decay of these organisms and other biomaterials may reduce amounts of O
2 in eutrophic water bodies	What can reduce density of O2 in eutrophic water bodies?	decay	1	1
 However, the very next Fermat number 232 + 1 is composite (one of its prime factors is 641), as Euler discovered later, and in fact no further Fermat numbers are known to be prime	Of what form do Euler numbers take?	composite	1	0
During the Southern Song dynasty the descendant of Confucius at Qufu, the Duke Yansheng Kong Duanyou fled south with the Song Emperor to Quzhou, while the newly established Jin dynasty (1115–1234) in the north appointed Kong Duanyou's brother Kong Duancao who remained in Qufu as Duke Yansheng	Who did Duke Yansheng Kong Duanyou flee with?	the Song Emperor	0	1
 Hutchins eliminated varsity football from the university in an attempt to emphasize academics over athletics, instituted the undergraduate college's liberal-arts curriculum known as the Common Core, and organized the university's graduate work into its current[when?] four divisions	What was the name given to the undergraduate college's liberal-arts curriculum?	Common Core	0	1
 One class of non-self molecules are called antigens (short for antibody generators) and are defined as substances that bind to specific immune receptors and elicit an immune response	Antigens bind to what in order to elicit a response of the immune system?	immune receptors	0	1
 Analysis of a silicon wafer exposed to the solar wind in space and returned by the crashed Genesis spacecraft has shown that the Sun has a higher proportion of oxygen-16 than does the Earth	Where have Genesis geologists measured oxygen isotopes?	silicon wafer exposed to the solar wind in space and returned by the crashed Genesis spacecraft	1	1
